"","sample.name","meancov_all","sdcov_all","meandep_all","sddep_all","meanbq_all","sdbq_all","meanmq_all","sdmq_all","nreads_all","meancov_chr","sdcov_chr","meandep_chr","sddep_chr","meanbq_chr","sdbq_chr","meanmq_chr","sdmq_chr","nreads_chr","Batch"
"653","RRAP-ECT01-2022-Aspat-OCCH-1508",73.444014162234,19.745445293292,10.4301493894947,60.3618854128017,35.8461436170213,1.85774687656203,27.5186156914894,12.7270602240522,24740519,86.7295714285714,1.9637850686987,6.433685,0.223135637802867,35.9071428571429,0.0267261241912428,40.85,2.25584710338404,15653585,"GBR"
"654","RRAP-ECT01-2022-Aspat-OCCH-1509",74.6521327819149,19.6774083471607,10.2214079519947,54.0136925163661,36.0578457446809,0.122304275044872,26.9912593085106,13.2294873137171,24649738,87.2552285714286,1.82872212568422,6.591085,0.26544880383549,36.0928571428571,0.0267261241912428,40.1571428571429,2.41906348239729,15803591,"GBR"
"655","RRAP-ECT01-2022-Aspat-OCCH-1510",74.41813125,19.3031882254474,9.63946426329787,53.3511334250339,35.9184840425532,1.31684420397199,27.1395917553191,12.8782676909047,22926417,86.7620214285714,1.5652358333877,6.17147285714286,0.304252322244562,35.9928571428571,0.0267261241912428,40.1071428571429,2.58827661276298,14783568,"GBR"
"656","RRAP-ECT01-2022-Aspat-OCCH-1511",73.6085371941489,19.9053231150879,9.33390829880319,51.6885449116594,35.8192819148936,1.85526580343003,27.4662353723404,12.9721133709729,23365677,86.7788428571429,1.81768273770344,6.29353857142857,0.272106357030231,35.9,0,41.1642857142857,2.26158798630082,15202885,"GBR"
"657","RRAP-ECT01-2022-Aspat-OCCH-1512",72.7470991728723,20.2595629308447,8.83601567779255,51.354560747433,35.8583776595745,1.31479708415263,27.7261569148936,13.0167710631361,21533286,86.0206571428571,1.83993284355468,5.77105357142857,0.252816943644915,35.9,0,41.3714285714286,2.35973550389692,13965920,"GBR"
"658","RRAP-ECT01-2022-Aspat-OCCH-1513",75.8509701422872,18.9568654614201,10.6336084399202,49.810859440318,35.9261968085106,1.31807768819102,27.8215731382979,12.8428249459059,27373827,87.8354142857143,2.00756958069171,7.39333,0.314248493882934,35.9928571428571,0.0267261241912428,41.2714285714286,2.12365018538603,17813709,"GBR"
"659","RRAP-ECT01-2022-Aspat-OCCH-1514",73.711125525266,19.6160561050614,9.7280742525266,56.1036690686754,35.9997340425532,1.32050304481141,26.7220744680851,12.5978151848854,23621411,86.9513785714286,1.6644887319343,6.24573714285714,0.264110128324372,36.0714285714286,0.0468807230938502,40.25,2.20375553579304,15206008,"GBR"
"660","RRAP-ECT01-2022-Aspat-OCCH-1515",77.2576895345745,18.4485784477427,13.7425886453457,66.4751401926956,35.9606382978723,1.3168147895216,27.8618257978723,12.9512365116231,33812780,88.6357285714286,1.7289835023587,9.00528214285714,0.364967789014499,36,0,41.2571428571429,2.10702644491246,21711423,"GBR"
"661","RRAP-ECT01-2022-Aspat-OCCH-1516",75.3382360106383,19.7864294504071,12.148638006516,70.3469785472654,35.8392287234043,1.8561707474676,27.517857712766,12.9402389402949,29534279,88.3051357142857,1.60968122625719,7.90460428571429,0.366011296667073,35.9071428571429,0.0267261241912428,41.4285714285714,2.15671708191607,19099911,"GBR"
"662","RRAP-ECT01-2022-Aspat-OCCH-1516-B",73.5402672273936,20.4261068592854,9.71663857273936,57.7965644685607,35.861835106383,2.27420393808506,27.0048430851064,12.9749445701519,23169462,87.1220571428571,1.70412459580336,6.27541357142857,0.282447060079942,36,0,40.8928571428571,2.13558289132365,14988056,"GBR"
"663","RRAP-ECT01-2022-Aspat-OCCH-1517",75.0314127765957,19.5328895284061,11.4548523355053,68.6027892088125,36.0339095744681,1.32158426185639,27.0064591755319,12.7238657893012,26498592,87.7345428571429,1.58819180478657,6.99975642857143,0.238662894979739,36.1,0,40.2785714285714,2.0976831803861,16871031,"GBR"
"664","RRAP-ECT01-2022-Aspat-OCCH-1518",74.6131257114362,19.3778584690031,11.2717746784574,61.6797205767167,36.1043882978723,0.12447235436043,27.3077593085106,12.948710160867,27130994,87.4696857142857,1.65674821208346,7.24832071428571,0.301569607948003,36.1,0,40.5,2.18667292056642,17422807,"GBR"
"665","RRAP-ECT01-2022-Aspat-OCCH-1519",74.8154741755319,19.1800890287198,11.4645906926862,67.4387263949511,35.8526595744681,1.85755544327349,27.9961223404255,13.0779040404622,27404396,87.7190357142857,1.54757633916697,7.37033571428571,0.352484390351911,35.9714285714286,0.0468807230938502,41.4,2.45857995286209,17702155,"GBR"
"666","RRAP-ECT01-2022-Aspat-OCCH-1520",74.959258018617,19.3285016905124,11.33366816875,64.5571842936003,35.8398936170213,1.85522014855013,28.0807992021277,12.9048046293958,27266317,87.8570357142857,1.63672866582994,7.33422928571429,0.336928077316311,35.9071428571429,0.0267261241912428,41.4714285714286,2.10838201597214,17620665,"GBR"
